Symptom,weight
itching,1
skin_rash,3
nodal_skin_eruptions,4
continuous_sneezing,4
shivering,5
chills,3
joint_pain,3
stomach_pain,5
acidity,3
ulcers_on_tongue,4
muscle_wasting,3
vomiting,5
burning_micturition,6
spotting_urination,6
fatigue,4
weight_gain,3
anxiety,4
cold_hands_and_feets,5
mood_swings,3
weight_loss,3
restlessness,5
lethargy,2
patches_in_throat,6
irregular_sugar_level,5
cough,4
high_fever,7
sunken_eyes,3
breathlessness,4
sweating,3
dehydration,4
indigestion,5
headache,3
yellowish_skin,3
dark_urine,4
nausea,5
loss_of_appetite,4
pain_behind_the_eyes,4
back_pain,3
constipation,4
abdominal_pain,4
diarrhoea,6
mild_fever,5
yellow_urine,4
yellowing_of_eyes,4
acute_liver_failure,6
fluid_overload,6
swelling_of_stomach,7
swelled_lymph_nodes,6
malaise,6
blurred_and_distorted_vision,5
phlegm,5
throat_irritation,4
redness_of_eyes,5
sinus_pressure,4
runny_nose,5
congestion,5
chest_pain,7
weakness_in_limbs,7
fast_heart_rate,5
pain_during_bowel_movements,5
pain_in_anal_region,6
bloody_stool,5
irritation_in_anus,6
neck_pain,5
dizziness,4
cramps,4
bruising,4
obesity,4
swollen_legs,5
swollen_blood_vessels,5
puffy_face_and_eyes,5
enlarged_thyroid,6
brittle_nails,5
swollen_extremeties,5
excessive_hunger,4
extra_marital_contacts,5
drying_and_tingling_lips,4
slurred_speech,4
knee_pain,3
hip_joint_pain,2
muscle_weakness,2
stiff_neck,4
swelling_joints,5
movement_stiffness,5
spinning_movements,6
loss_of_balance,4
unsteadiness,4
weakness_of_one_body_side,4
loss_of_smell,3
bladder_discomfort,4
foul_smell_ofurine,5
continuous_feel_of_urine,6
passage_of_gases,5
internal_itching,4
toxic_look_(typhos),5
depression,3
irritability,2
muscle_pain,2
altered_sensorium,2
red_spots_over_body,3
belly_pain,4
abnormal_menstruation,6
dischromic_patches,6
watering_from_eyes,4
increased_appetite,5
polyuria,4
family_history,5
mucoid_sputum,4
rusty_sputum,4
lack_of_concentration,3
visual_disturbances,3
receiving_blood_transfusion,5
receiving_unsterile_injections,2
coma,7
stomach_bleeding,6
distention_of_abdomen,4
history_of_alcohol_consumption,5
fluid_overload,4
blood_in_sputum,5
prominent_veins_on_calf,6
palpitations,4
painful_walking,2
pus_filled_pimples,2
blackheads,2
scurring,2
skin_peeling,3
silver_like_dusting,2
small_dents_in_nails,2
inflammatory_nails,2
blister,4
red_sore_around_nose,2
yellow_crust_ooze,3
prognosis,5
symptom,weight
chest_tightness,5
dry_cough,4
productive_cough,5
wheezing,5
night_sweats,6
low_blood_pressure,5
high_blood_pressure,6
rapid_breathing,6
slow_heart_rate,4
irregular_heartbeat,6
fainting,6
loss_of_consciousness,7
tremors,5
seizures,7
hallucinations,6
confusion,5
memory_loss,5
difficulty_speaking,5
difficulty_swallowing,6
hoarseness,4
ear_pain,4
ringing_in_ears,4
hearing_loss,5
double_vision,5
eye_pain,4
light_sensitivity,4
eye_discharge,4
swollen_eyelids,4
bleeding_gums,4
bad_breath,3
tooth_pain,4
jaw_pain,4
dry_mouth,3
excessive_salivation,4
difficulty_breathing,7
shortness_of_breath,6
cyanosis,7
cold_sweats,5
heat_intolerance,5
cold_intolerance,5
flushing,4
pale_skin,4
itchy_eyes,4
skin_redness,4
skin_blisters,5
skin_ulcers,6
thickened_skin,4
skin_discoloration,4
nail_clubbing,5
hair_thinning,4
hair_breakage,3
scalp_itching,3
scalp_flaking,3
lump_under_skin,5
swollen_glands,5
breast_lump,6
nipple_discharge,5
pelvic_pain,5
testicular_pain,5
vaginal_discharge,5
painful_urination,6
frequent_urination,5
reduced_urination,5
blood_in_urine,6
foamy_urine,4
night_urination,4
urgency_to_urinate,5
incontinence,5
erectile_dysfunction,4
low_libido,3
pain_during_intercourse,5
missed_periods,5
heavy_menstrual_bleeding,6
spotting_between_periods,5
hot_flashes,4
nightmares,3
sleepwalking,4
daytime_sleepiness,4
difficulty_concentrating,4
slow_thinking,4
lack_of_motivation,3
emotional_instability,4
panic_attacks,5
social_withdrawal,4
hyperactivity,4
impulsiveness,4
aggression,4
self_harm_thoughts,7
suicidal_thoughts,7
poor_appetite,4
overeating,4
food_cravings,3
difficulty_digesting_food,4
acid_reflux,5
heartburn,5
bloating,4
excessive_belching,3
blood_in_vomit,6
vomiting_blood,7
black_stools,6
rectal_bleeding,6
painful_swallowing,5
difficulty_chewing,3
jaw_locking,4
limited_mobility,5
joint_swelling,5
joint_redness,4
muscle_spasms,4
muscle_cramps,4
muscle_stiffness,4
loss_of_strength,5
paralysis_of_limbs,7
tingling_sensation,4
burning_sensation,4
numbness,5
pins_and_needles,4
uncontrolled_movements,6
shaky_hands,4
poor_balance,5
clumsiness,4
frequent_falls,5
delayed_reflexes,4
hyper_reflexia,4
visual_flashes,4
blind_spots,5
distorted_hearing,4
taste_loss,3
metallic_taste,3
dry_skin,3
oily_skin,3
excessive_sweating,5
reduced_sweating,4
body_odor,3
fever_spikes,6
chronic_fatigue,6
general_weakness,5
loss_of_stamina,4
exercise_intolerance,5
