,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
1,Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
2,Allergy,apply calamine,cover area with bandage,,use ice to compress itching
3,Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
4,Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
5,GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
6,Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
7,hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
8,Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
9,(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
10,Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
11,Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
12,Diabetes ,have balanced diet,exercise,consult doctor,follow up
13,Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
14,Hypertension ,meditation,salt baths,reduce stress,get proper sleep
15,Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
16,Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
17,Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
18,Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
19,Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
20,Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
21,Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
22,Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
23,AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up
24,Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
25,Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
26,Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication
27,Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
28,Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication
29,Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
30,Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
31,Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
32,Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
33,Hepatitis E,stop alcohol consumption,rest,consult doctor,medication
34,Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
35,Hepatitis D,consult doctor,medication,eat healthy,follow up
36,Heart attack,call ambulance,chew or swallow asprin,keep calm,
37,Pneumonia,consult doctor,medication,rest,follow up
38,Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
39,Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
40,Tuberculosis,cover mouth,consult doctor,medication,rest
41,Influenza,rest,drink plenty of fluids,take antiviral medication,avoid contact with others
42,Measles,isolate patient,drink fluids,vitamin A supplementation,consult doctor
43,Mumps,apply ice packs,rest,drink fluids,avoid acidic foods
44,Rubella,rest,drink fluids,avoid pregnant women,consult doctor
45,Whooping cough,antibiotics,rest,humidified air,consult doctor
46,Cholera,oral rehydration solution,drink clean water,avoid contaminated food,consult doctor
47,Ebola,isolate patient,wear protective gear,hydration,seek immediate medical care
48,Zika virus,rest,drink fluids,avoid mosquito bites,consult doctor
49,Polio,vaccination,physical therapy,rest,consult doctor
50,Rabies,vaccination,clean wound immediately,seek medical help,avoid animal bites
51,Scabies,apply medicated cream,wash clothes in hot water,avoid contact,consult doctor
52,Ringworm,apply antifungal cream,keep area dry,avoid sharing items,maintain hygiene
53,Athlete’s foot,keep feet dry,use antifungal powder,wear breathable shoes,change socks regularly
54,Conjunctivitis,use eye drops,avoid touching eyes,wash hands,avoid sharing towels
55,Sinusitis,steam inhalation,drink fluids,use nasal spray,rest
56,Bronchitis,rest,drink warm fluids,avoid smoking,use humidifier
57,Laryngitis,rest voice,drink warm fluids,avoid irritants,use humidifier
58,Tonsillitis,drink warm liquids,rest,gargle salt water,consult doctor
59,Appendicitis,seek immediate surgery,avoid food,consult doctor,rest
60,Pancreatitis,avoid alcohol,low fat diet,drink fluids,consult doctor
61,Cirrhosis,avoid alcohol,eat healthy,consult doctor,medication
62,Anemia,consume iron rich foods,take supplements,consult doctor,balanced diet
63,Leukemia,chemotherapy,consult specialist,balanced diet,follow up
64,Lymphoma,chemotherapy,radiation therapy,consult doctor,rest
65,Skin cancer,avoid sun exposure,use sunscreen,consult dermatologist,regular screening
66,Lung cancer,quit smoking,chemotherapy,radiation therapy,consult doctor
67,Breast cancer,regular screening,chemotherapy,surgery,consult doctor
68,Prostate cancer,screening,medication,surgery,consult doctor
69,Colon cancer,high fiber diet,screening,consult doctor,medication
70,Alzheimer’s disease,mental exercises,healthy diet,regular checkups,medication
71,Parkinson’s disease,exercise,medication,physical therapy,consult doctor
72,Epilepsy,take prescribed medication,avoid triggers,regular sleep,consult doctor
73,Multiple sclerosis,physical therapy,medication,rest,consult doctor
74,Stroke,call ambulance,keep patient calm,monitor breathing,seek immediate care
75,Deep vein thrombosis,exercise,avoid prolonged sitting,use compression stockings,consult doctor
76,Atherosclerosis,healthy diet,exercise,avoid smoking,medication
77,Arrhythmia,avoid caffeine,medication,monitor heart rate,consult doctor
78,Heart failure,limit salt,monitor weight,medication,consult doctor
79,Endocarditis,antibiotics,rest,consult doctor,maintain hygiene
80,Pericarditis,rest,anti inflammatory drugs,consult doctor,monitor symptoms
81,Glaucoma,use eye drops,regular checkups,avoid eye strain,consult doctor
82,Cataract,surgery,wear sunglasses,regular eye exams,consult doctor
83,Macular degeneration,vitamin supplements,regular checkups,avoid smoking,healthy diet
84,Hearing loss,avoid loud noise,use hearing aids,consult specialist,regular checkups
85,Otitis media,antibiotics,rest,avoid water exposure,consult doctor
86,Vertigo,avoid sudden movements,rest,hydration,consult doctor
87,Depression,therapy,medication,exercise,social support
88,Anxiety disorder,relaxation techniques,therapy,medication,exercise
89,Bipolar disorder,medication,therapy,regular sleep,consult doctor
90,Schizophrenia,antipsychotic medication,therapy,social support,regular follow up
91,Obsessive compulsive disorder,therapy,medication,stress management,consult doctor
92,Post traumatic stress disorder,therapy,medication,support groups,relaxation techniques
93,Insomnia,maintain sleep schedule,avoid caffeine,relaxation techniques,consult doctor
94,Sleep apnea,use CPAP machine,lose weight,avoid alcohol,consult doctor
95,Obesity,exercise,balanced diet,limit calories,consult doctor
96,Malnutrition,balanced diet,vitamin supplements,regular meals,consult doctor
97,Dehydration,drink water,oral rehydration salts,avoid heat,rest
98,Food poisoning,drink fluids,rest,avoid solid food initially,consult doctor
99,Lactose intolerance,avoid dairy,use lactose free products,consult doctor,balanced diet
100,Celiac disease,avoid gluten,balanced diet,consult doctor,vitamin supplements
101,Goiter,iodine intake,medication,consult doctor,balanced diet
102,Gout,avoid purine rich foods,drink water,medication,rest
103,Osteoporosis,calcium intake,vitamin D,exercise,consult doctor
104,Rickets,vitamin D exposure,calcium intake,balanced diet,consult doctor
105,Scoliosis,physical therapy,brace support,exercise,consult doctor
106,Fracture,immobilization,rest,apply ice,consult doctor
107,Sprain,rest,ice,compression,elevation
108,Burns,cool water,apply ointment,cover with sterile cloth,consult doctor
109,Heat stroke,move to cool place,hydrate,apply cool cloths,seek medical help
110,Hypothermia,warm gradually,remove wet clothes,drink warm fluids,seek medical help
111,Poisoning,seek immediate help,do not induce vomiting,identify poison,call emergency
112,Snake bite,immobilize limb,seek medical help,avoid movement,stay calm
113,Allergic rhinitis,avoid allergens,use antihistamines,keep environment clean,consult doctor
114,Astigmatism,use corrective lenses,regular eye exams,consult doctor,avoid strain
115,Myopia,use glasses,limit screen time,regular checkups,eye exercises
116,Hyperopia,use corrective lenses,consult doctor,regular eye exams,avoid strain
117,Motion sickness,avoid heavy meals,focus on horizon,medication,rest
118,Altitude sickness,ascend slowly,hydrate,rest,descend if severe
119,Jet lag,adjust sleep schedule,stay hydrated,expose to sunlight,rest
120,Sunburn,apply aloe vera,avoid sun exposure,drink fluids,use sunscreen
121,Frostbite,warm slowly,avoid rubbing,seek medical help,cover affected area
122,Boils,apply warm compress,maintain hygiene,avoid squeezing,consult doctor
123,Warts,use medicated creams,avoid picking,keep area clean,consult doctor
124,Cold sores,apply antiviral cream,avoid touching,maintain hygiene,consult doctor
125,Ingrown toenail,soak in warm water,keep clean,wear proper shoes,consult doctor
126,Dandruff,use medicated shampoo,maintain scalp hygiene,avoid stress,consult doctor
127,Hair loss,balanced diet,avoid stress,use mild shampoo,consult doctor
128,PCOS,exercise,balanced diet,medication,consult doctor
129,Endometriosis,pain management,medication,consult doctor,rest
130,Menstrual cramps,apply heat,pain relievers,rest,exercise
131,Infertility,consult specialist,healthy lifestyle,medication,reduce stress
132,Erectile dysfunction,consult doctor,exercise,reduce stress,medication
133,Prostatitis,antibiotics,drink fluids,rest,consult doctor
134,Kidney stones,drink water,pain management,medication,consult doctor
135,Chronic kidney disease,limit salt,monitor blood pressure,medication,consult doctor
136,Nephrotic syndrome,low salt diet,medication,monitor protein intake,consult doctor
137,Bladder infection,drink fluids,antibiotics,maintain hygiene,consult doctor
138,Testicular torsion,seek emergency surgery,rest,avoid movement,consult doctor
139,Hernia,avoid heavy lifting,wear support belt,consult doctor,surgery if needed
140,Varicocele,wear support,avoid heavy lifting,consult doctor,monitor condition
